year,annual_ridership
1975,966275670
1976,925441553
1977,917158226
1978,958064341
1979,989715067
1980,951791780
1981,962620637
1982,938258485
1983,954056451
1984,943760180
1985,949591924
1986,965952041
1987,994937386
1988,1007919861
1989,1006326842
1990,961859854
1991,929448118
1992,931003456
1993,965072751
1994,1013985819
1995,1023362962
1996,1041091064
1997,1061826391
1998,1199330220
1999,1283098990
2000,1381147265
2001,1406767963
2002,1414650970
2003,1385124771
2004,1427391117
2005,1450586429
2006,1500247828
2007,1563703626
2008,1625069716
2009,1581263428
2010,1605802398
2011,1640643036
2012,1654569900
2013,1707539429
2014,1751221791
2015,1762527050
2016,1756810000
2017,1727370000
2018,1680060000
2019,1697790000
2020,639540000
2021,759980000
2022,1013430000
2023,1152000000
