Annual Subway Ridership,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,
The Bronx,,,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"944,598","1,035,878","371,408","656,866","766,610","785,271","18,661",2.4%,336,,
"149 St-Grand Concourse (2,4,5)",,Bx,"3,972,763","3,931,908","1,815,785","1,832,521","2,026,363","2,087,779","61,416",3.0%,154,,
"161 St-Yankee Stadium (B,D,4)",,Bx,"8,392,290","8,254,928","3,221,651","4,077,604","5,023,193","5,316,351","293,158",5.8%,54,,
167 St (4),,Bx,"2,933,140","2,653,237","1,396,287","1,615,072","1,847,368","1,901,393","54,025",2.9%,175,,
"167 St (B,D)",2,Bx,"2,022,919","2,734,530","1,422,149","1,508,270","1,492,833","1,411,144","-81,689",-5.5%,206,,
170 St (4),,Bx,"2,562,443","2,487,611","1,265,950","1,278,506","1,499,662","1,448,193","-51,469",-3.4%,222,,
"170 St (B,D)",,Bx,"2,454,974","2,130,461","1,002,095","1,104,637","1,121,869","1,001,022","-120,847",-10.8%,280,,
"174 St (2,5)",,Bx,"2,056,692","2,057,118","953,564","1,077,126","1,140,821","1,118,781","-22,040",-1.9%,271,,
"174-175 Sts (B,D)",3,Bx,"1,005,075","1,518,260","788,121","853,579","859,988","774,167","-85,821",-10.0%,324,,
176 St (4),,Bx,"1,803,691","1,713,696","876,865","939,585","1,055,833","1,041,352","-14,481",-1.4%,290,,
"182-183 Sts (B,D)",,Bx,"1,502,814","1,513,443","761,613","812,994","866,961","824,845","-42,116",-4.9%,313,,
183 St (4),,Bx,"1,831,457","1,779,224","951,634","1,051,456","1,196,389","1,188,844","-7,545",-0.6%,275,,
"219 St (2,5)",,Bx,"1,026,894","979,390","457,388","495,442","530,795","490,047","-40,748",-7.7%,391,,
"225 St (2,5)",,Bx,"1,224,369","1,187,486","549,296","605,491","621,548","589,541","-32,007",-5.1%,365,,
231 St (1),,Bx,"3,133,231","2,919,305","1,289,691","1,462,605","1,810,807","1,894,047","83,240",4.6%,169,,
"233 St (2,5)",,Bx,"1,496,673","1,445,532","721,495","796,596","845,998","845,056",-942,-0.1%,322,,
238 St (1),4,Bx,"960,970","1,204,095","588,199","678,017","872,799","959,752","86,953",10.0%,298,,
3 Av-138 St (6),,Bx,"2,451,972","2,503,850","1,271,192","1,359,371","1,503,905","1,750,592","246,687",16.4%,177,,
"3 Av-149 St (2,5)",,Bx,"6,784,053","6,768,255","3,166,766","3,301,418","3,330,977","3,333,256","2,279",0.1%,89,,
"Allerton Av (2,5)",,Bx,"1,603,702","1,614,464","760,068","850,231","896,938","874,229","-22,709",-2.5%,315,,
Baychester Av (5),,Bx,"1,006,343","1,094,872","491,293","485,836","548,542","540,493","-8,049",-1.5%,371,,
"Bedford Park Blvd (B,D)",,Bx,"1,984,267","2,143,375","968,590","1,106,992","1,165,034","1,166,942","1,908",0.2%,242,,
Bedford Park Blvd-Lehman College (4),,Bx,"1,575,555","1,538,253","691,845","795,864","1,091,465","1,182,701","91,236",8.4%,273,,
"Bronx Park East (2,5)",,Bx,"752,916","769,303","354,016","421,588","470,109","456,352","-13,757",-2.9%,393,,
Brook Av (6),,Bx,"1,895,570","1,823,468","949,904","1,026,185","1,117,049","1,104,521","-12,528",-1.1%,279,,
Buhre Av (6),,Bx,"1,110,307","1,146,032","519,694","585,402","734,364","758,972","24,608",3.4%,329,,
"Burke Av (2,5)",,Bx,"997,617","1,000,896","480,152","531,811","552,450","532,937","-19,513",-3.5%,377,,
Burnside Av (4),,Bx,"3,198,218","3,113,514","1,473,081","1,614,822","1,824,767","1,891,402","66,635",3.7%,176,,
Castle Hill Av (6),,Bx,"2,000,084","1,954,511","947,432","1,043,725","1,196,644","1,051,526","-145,118",-12.1%,274,,
Cypress Av (6),,Bx,"1,113,667","1,043,922","507,795","519,868","559,225","501,060","-58,165",-10.4%,386,,
East 143 St-St Mary's St (6),,Bx,"301,240","313,938","168,285","196,864","254,297","254,155",-142,-0.1%,414,,
East 149 St (6),,Bx,"1,508,022","1,467,410","788,235","828,659","927,728","966,053","38,325",4.1%,299,,
"East 180 St (2,5)",,Bx,"2,249,646","2,211,198","1,142,139","1,216,916","1,421,302","1,690,373","269,071",18.9%,184,,
Eastchester-Dyre Av (5),,Bx,"1,259,009","1,331,886","631,122","658,061","724,813","727,475","2,662",0.4%,334,,
Elder Av (6),,Bx,"2,000,985","1,996,492","1,053,012","1,148,003","1,297,150","1,214,084","-83,066",-6.4%,260,,
Fordham Rd (4),,Bx,"3,321,215","3,120,976","1,580,225","1,837,293","2,066,360","2,269,772","203,412",9.8%,157,,
"Fordham Rd (B,D)",,Bx,"3,596,416","3,671,217","1,713,032","1,843,504","1,838,773","1,842,281","3,508",0.2%,160,,
"Freeman St (2,5)",,Bx,"1,354,453","1,358,821","642,087","739,184","840,179","822,237","-17,942",-2.1%,327,,
"Gun Hill Rd (2,5)",,Bx,"2,197,147","2,271,942","1,012,373","1,103,035","1,142,015","1,214,663","72,648",6.4%,255,,
Gun Hill Rd (5),5,Bx,"1,521,987","1,248,513","466,005","757,669","909,737","925,025","15,288",1.7%,294,,
Hunts Point Av (6),,Bx,"3,216,569","3,174,354","1,633,812","1,729,412","1,992,329","2,140,557","148,228",7.4%,150,,
"Intervale Av (2,5)",,Bx,"943,016","964,689","472,958","547,183","591,075","580,512","-10,563",-1.8%,366,,
"Jackson Av (2,5)",,Bx,"1,597,307","1,584,727","740,308","830,161","951,497","919,324","-32,173",-3.4%,303,,
Kingsbridge Rd (4),,Bx,"2,783,082","2,733,096","1,357,273","1,494,520","1,800,580","1,958,074","157,494",8.7%,171,,
"Kingsbridge Rd (B,D)",,Bx,"2,475,107","2,485,283","1,189,102","1,195,990","1,200,434","1,140,981","-59,453",-5.0%,246,,
Longwood Av (6),6,Bx,"1,040,934","949,680","390,165","554,609","675,547","686,670","11,123",1.6%,351,,
Middletown Rd (6),,Bx,"595,044","597,839","257,912","289,799","363,695","401,976","38,281",10.5%,398,,
Morris Park (5),,Bx,"668,423","711,229","318,988","373,691","469,688","521,846","52,158",11.1%,375,,
Morrison Av-Soundview (6),,Bx,"1,988,053","1,970,185","1,000,610","1,095,552","1,236,633","1,221,900","-14,733",-1.2%,253,,
Mosholu Pkwy (4),,Bx,"2,531,607","2,491,758","1,274,467","1,423,888","1,647,450","1,728,114","80,664",4.9%,186,,
