Average Weekday Subway Ridership,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,
The Bronx,,,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"3,166","3,324","1,211","2,127","2,519","2,546",27,1.1%,336,,
"149 St-Grand Concourse (2,4,5)",,Bx,"13,081","12,960","5,814","5,873","6,600","6,789",189,2.9%,154,,
"161 St-Yankee Stadium (B,D,4)",,Bx,"26,034","25,642","10,112","12,374","15,230","16,043",813,5.3%,54,,
167 St (4),,Bx,"9,398","8,486","4,357","5,066","5,766","5,807",41,0.7%,175,,
"167 St (B,D)",2,Bx,"6,342","8,542","4,405","4,723","4,981","4,926",-55,-1.1%,206,,
170 St (4),,Bx,"8,140","7,926","3,983","4,039","4,702","4,495",-207,-4.4%,222,,
"170 St (B,D)",,Bx,"7,913","6,767","3,127","3,468","3,782","3,529",-253,-6.7%,280,,
"174 St (2,5)",,Bx,"6,751","6,644","3,051","3,437","3,731","3,664",-67,-1.8%,271,,
"174-175 Sts (B,D)",3,Bx,"3,221","4,869","2,496","2,727","2,921","2,746",-175,-6.0%,324,,
176 St (4),,Bx,"5,807","5,518","2,762","2,980","3,341","3,230",-111,-3.3%,290,,
"182-183 Sts (B,D)",,Bx,"4,752","4,773","2,377","2,535","2,925","2,893",-32,-1.1%,313,,
183 St (4),,Bx,"5,754","5,641","2,944","3,269","3,690","3,611",-79,-2.1%,275,,
"219 St (2,5)",,Bx,"3,335","3,232","1,478","1,570","1,719","1,584",-135,-7.9%,391,,
"225 St (2,5)",,Bx,"3,961","3,898","1,774","1,918","2,015","1,917",-98,-4.9%,365,,
231 St (1),,Bx,"10,287","9,658","4,184","4,786","5,872","6,165",293,5.0%,169,,
"233 St (2,5)",,Bx,"4,864","4,768","2,348","2,546","2,753","2,754",1,0.0%,322,,
238 St (1),4,Bx,"3,225","3,998","1,908","2,204","2,809","3,104",295,10.5%,298,,
3 Av-138 St (6),,Bx,"7,801","8,100","4,005","4,326","4,729","5,708",979,20.7%,177,,
"3 Av-149 St (2,5)",,Bx,"22,357","22,167","10,187","10,558","10,966","10,994",28,0.3%,89,,
"Allerton Av (2,5)",,Bx,"5,144","5,161","2,443","2,685","2,907","2,836",-71,-2.4%,315,,
Baychester Av (5),,Bx,"3,551","3,789","1,666","1,661","1,886","1,875",-11,-0.6%,371,,
"Bedford Park Blvd (B,D)",,Bx,"6,419","6,911","3,099","3,492","3,955","4,139",184,4.7%,242,,
Bedford Park Blvd-Lehman College (4),,Bx,"5,170","5,066","2,206","2,553","3,458","3,634",176,5.1%,273,,
"Bronx Park East (2,5)",,Bx,"2,498","2,526","1,166","1,352","1,552","1,516",-36,-2.3%,393,,
Brook Av (6),,Bx,"6,040","5,917","3,009","3,350","3,676","3,540",-136,-3.7%,279,,
Buhre Av (6),,Bx,"3,744","3,898","1,730","1,960","2,479","2,616",137,5.5%,329,,
"Burke Av (2,5)",,Bx,"3,234","3,250","1,561","1,700","1,802","1,755",-47,-2.6%,377,,
Burnside Av (4),,Bx,"10,231","9,964","4,629","5,076","5,696","5,773",77,1.4%,176,,
Castle Hill Av (6),,Bx,"6,483","6,435","3,037","3,402","3,946","3,619",-327,-8.3%,274,,
Cypress Av (6),,Bx,"3,651","3,462","1,649","1,718","1,876","1,643",-233,-12.4%,386,,
East 143 St-St Mary's St (6),,Bx,"1,019","1,085",567,688,902,890,-12,-1.4%,414,,
East 149 St (6),,Bx,"4,842","4,821","2,515","2,724","3,037","3,100",63,2.1%,299,,
"East 180 St (2,5)",,Bx,"7,175","7,089","3,479","3,829","4,629","5,459",830,17.9%,184,,
Eastchester-Dyre Av (5),,Bx,"4,506","4,672","2,168","2,300","2,542","2,576",34,1.4%,334,,
Elder Av (6),,Bx,"6,323","6,371","3,278","3,662","4,139","3,846",-293,-7.1%,260,,
Fordham Rd (4),,Bx,"10,395","9,796","4,857","5,666","6,257","6,716",459,7.3%,157,,
"Fordham Rd (B,D)",,Bx,"11,361","11,587","5,349","5,766","6,160","6,533",373,6.1%,160,,
"Freeman St (2,5)",,Bx,"4,451","4,387","2,048","2,373","2,755","2,690",-65,-2.4%,327,,
"Gun Hill Rd (2,5)",,Bx,"6,930","7,022","3,214","3,470","3,690","3,897",207,5.6%,255,,
Gun Hill Rd (5),5,Bx,"5,362","4,287","1,549","2,579","3,104","3,189",85,2.8%,294,,
Hunts Point Av (6),,Bx,"10,460","10,510","5,271","5,676","6,473","6,976",503,7.8%,150,,
"Intervale Av (2,5)",,Bx,"3,130","3,140","1,521","1,752","1,944","1,915",-29,-1.5%,366,,
"Jackson Av (2,5)",,Bx,"5,288","5,167","2,375","2,664","3,158","3,066",-92,-2.9%,303,,
Kingsbridge Rd (4),,Bx,"8,992","8,849","4,277","4,719","5,664","6,045",381,6.7%,171,,
"Kingsbridge Rd (B,D)",,Bx,"7,922","7,957","3,754","3,788","4,067","4,060",-7,-0.2%,246,,
Longwood Av (6),6,Bx,"3,395","3,168","1,267","1,859","2,270","2,258",-12,-0.5%,351,,
Middletown Rd (6),,Bx,"2,036","2,061",873,993,"1,257","1,416",159,12.7%,398,,
Morris Park (5),,Bx,"2,417","2,520","1,104","1,302","1,625","1,820",195,12.0%,375,,
Morrison Av-Soundview (6),,Bx,"6,361","6,341","3,173","3,537","4,004","3,930",-74,-1.8%,253,,
Mosholu Pkwy (4),,Bx,"8,195","8,074","4,070","4,585","5,226","5,394",168,3.2%,186,,
Mt Eden Av (4),,Bx,"5,337","5,009","2,625","2,890","3,138","3,106",-32,-1.0%,297,,
"Nereid Av (2,5)",,Bx,"3,437","3,394","1,558","1,757","1,957","1,948",-9,-0.5%,360,,
Norwood-205 St (D),7,Bx,"8,429","8,544","4,174","4,441","4,878","4,255",-623,-12.8%,233,,
Parkchester (6),,Bx,"15,660","15,427","7,028","7,754","9,065","10,497","1,432",15.8%,96,,
Pelham Bay Park (6),,Bx,"7,001","7,020","3,094","3,301","3,668","3,863",195,5.3%,257,,
"Pelham Pkwy (2,5)",,Bx,"8,472","8,463","3,915","4,473","4,602","5,519",917,19.9%,182,,
Pelham Pkwy (5),,Bx,"3,083","3,225","1,427","1,591","1,946","2,014",68,3.5%,359,,
"Prospect Av (2,5)",,Bx,"7,038","6,936","3,258","3,618","4,065","4,136",71,1.7%,243,,
"Simpson St (2,5)",,Bx,"8,477","8,257","3,914","4,371","4,628","4,374",-254,-5.5%,226,,
