Average Weekend (Saturday + Sunday) Subway Ridership,,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,,,,,,,,
The Bronx,,,,,,,,,,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"2,557","3,537","1,136","2,128","2,317","2,550",233,10.1%,336,,,,,,,,,
"149 St-Grand Concourse (2,4,5)",,Bx,"11,873","11,647","6,028","6,237","6,381","6,683",302,4.7%,154,,,,,,,,,
"161 St-Yankee Stadium (B,D,4)",,Bx,"32,173","31,627","11,558","16,776","21,234","22,932","1,698",8.0%,54,,,,,,,,,
167 St (4),,Bx,"9,822","8,986","5,112","5,956","6,945","7,819",874,12.6%,175,,,,,,,,,
"167 St (B,D)",2,Bx,"7,529","10,299","5,363","5,619","4,068","2,833","-1,235",-30.4%,206,,,,,,,,,
170 St (4),,Bx,"8,936","8,584","4,476","4,588","5,558","5,605",47,0.9%,222,,,,,,,,,
"170 St (B,D)",,Bx,"8,037","7,420","3,673","4,064","2,878","1,843","-1,035",-36.0%,280,,,,,,,,,
"174 St (2,5)",,Bx,"6,141","6,671","3,135","3,699","3,490","3,425",-65,-1.9%,271,,,,,,,,,
"174-175 Sts (B,D)",3,Bx,"3,404","5,107","2,721","2,930","2,109","1,352",-757,-35.9%,324,,,,,,,,,
176 St (4),,Bx,"5,937","5,637","3,081","3,307","3,759","4,039",280,7.4%,290,,,,,,,,,
"182-183 Sts (B,D)",,Bx,"5,347","5,438","2,782","3,058","2,207","1,585",-622,-28.2%,313,,,,,,,,,
183 St (4),,Bx,"6,696","6,260","3,604","4,023","4,710","4,973",263,5.6%,275,,,,,,,,,
"219 St (2,5)",,Bx,"3,248","2,841","1,449","1,753","1,709","1,603",-106,-6.2%,391,,,,,,,,,
"225 St (2,5)",,Bx,"3,936","3,539","1,747","2,152","1,981","1,872",-109,-5.5%,365,,,,,,,,,
231 St (1),,Bx,"9,499","8,337","3,985","4,453","5,771","5,977",206,3.6%,169,,,,,,,,,
"233 St (2,5)",,Bx,"4,720","4,202","2,209","2,724","2,657","2,654",-3,-0.1%,322,,,,,,,,,
238 St (1),4,Bx,"2,578","3,411","1,824","2,144","2,891","3,141",250,8.7%,298,,,,,,,,,
3 Av-138 St (6),,Bx,"8,591","8,110","4,513","4,827","5,539","5,512",-27,-0.5%,177,,,,,,,,,
"3 Av-149 St (2,5)",,Bx,"19,975","20,597","10,199","11,302","9,835","9,959",124,1.3%,89,,,,,,,,,
"Allerton Av (2,5)",,Bx,"5,379","5,491","2,437","3,056","2,866","2,806",-60,-2.1%,315,,,,,,,,,
Baychester Av (5),,Bx,"1,840","2,368","1,169","1,153","1,251","1,171",-80,-6.4%,371,,,,,,,,,
"Bedford Park Blvd (B,D)",,Bx,"6,428","7,060","3,205","4,005","2,884","2,068",-816,-28.3%,242,,,,,,,,,
Bedford Park Blvd-Lehman College (4),,Bx,"4,793","4,588","2,331","2,697","3,917","4,818",901,23.0%,273,,,,,,,,,
