station_complex_grouped,ridership,year,num_services,annual_ridership
1 Av,226236.0,5,1,45247.2
103 St,220406.0,5,1,44081.2
103 St-Corona Plaza,202527.0,5,1,40505.4
104 St,31813.0,5,1,6362.6
110 St,72521.0,5,1,14504.2
111 St,125260.0,5,1,25052.0
116 St,223764.0,5,2,44752.8
116 St-Columbia University,105713.0,5,1,21142.6
121 St,17157.0,5,2,3431.4
125 St,539856.0,5,2,107971.2
135 St,131685.0,5,2,26337.0
137 St-City College,92073.0,5,1,18414.6
138 St-Grand Concourse,28505.0,5,2,5701.0
14 St,710604.0,5,3,142120.8
14 St-Union Sq,690750.0,5,8,138150.0
145 St,265246.0,5,1,53049.2
149 St-Grand Concourse,79805.0,5,3,15961.0
15 St-Prospect Park,45517.0,5,2,9103.4
155 St,44919.0,5,2,8983.8
157 St,82164.0,5,1,16432.8
161 St-Yankee Stadium,196283.0,5,3,39256.6
163 St-Amsterdam Av,29944.0,5,1,5988.8
167 St,129889.0,5,1,25977.8
168 St,190980.0,5,3,38196.0
169 St,54461.0,5,1,10892.2
170 St,102989.0,5,1,20597.8
174 St,42657.0,5,2,8531.4
174-175 Sts,33422.0,5,2,6684.4
175 St,80381.0,5,1,16076.2
176 St,38818.0,5,1,7763.6
18 Av,109808.0,5,1,21961.6
18 St,47051.0,5,1,9410.2
181 St,129617.0,5,1,25923.4
182-183 Sts,34918.0,5,2,6983.6
183 St,43348.0,5,1,8669.6
190 St,28223.0,5,1,5644.6
191 St,57796.0,5,1,11559.2
2 Av,142245.0,5,1,28449.0
20 Av,66291.0,5,1,13258.2
207 St,48316.0,5,1,9663.2
21 St,15657.0,5,1,3131.4
21 St-Queensbridge,68876.0,5,1,13775.2
215 St,15807.0,5,1,3161.4
219 St,18968.0,5,2,3793.6
225 St,22850.0,5,2,4570.0
23 St,734177.0,5,1,146835.4
231 St,66722.0,5,1,13344.4
233 St,29565.0,5,2,5913.0
238 St,33257.0,5,1,6651.4
25 Av,30791.0,5,1,6158.2
25 St,29628.0,5,1,5925.6
28 St,311985.0,5,1,62397.0
3 Av,56928.0,5,1,11385.6
3 Av-138 St,56765.0,5,1,11353.0
3 Av-149 St,134060.0,5,2,26812.0
