station_complex_grouped,year_month,avg_monthly_ridership,percentage_change_from_busiest_month,resource_utilization
116 St-Columbia University,01,1565.75,-0.42964082762640243,57.035917237359754
116 St-Columbia University,02,2297.75,-0.1629935888095585,83.70064111904415
116 St-Columbia University,03,2236.0,-0.1854873961824275,81.45126038175725
116 St-Columbia University,04,1742.5,-0.3652557190732916,63.47442809267084
116 St-Columbia University,05,1249.25,-0.5449329739181116,45.506702608188846
116 St-Columbia University,06,1466.75,-0.465703773859828,53.429622614017205
116 St-Columbia University,07,1579.4,-0.42466851231239977,57.53314876876002
116 St-Columbia University,08,1411.2,-0.4859390936908057,51.40609063091943
116 St-Columbia University,09,2691.4,-0.019597843508669555,98.04021564913305
116 St-Columbia University,10,2745.2,0.0,100.0
116 St-Columbia University,11,2729.2,-0.005828354946816217,99.41716450531838
116 St-Columbia University,12,1539.8,-0.4390936908057701,56.09063091942299
