station_complex_grouped,year_month,avg_monthly_ridership,percentage_change_from_busiest_month,resource_utilization
68 St-Hunter College,01,3095.0,-0.364215283483977,63.5784716516023
68 St-Hunter College,02,2885.75,-0.40720008216926873,59.27999178307313
68 St-Hunter College,03,2942.5,-0.3955423171733772,60.445768282662286
68 St-Hunter College,04,2580.75,-0.46985414954806903,53.014585045193094
68 St-Hunter College,05,4868.0,0.0,100.0
68 St-Hunter College,06,2190.75,-0.54996918652424,45.00308134757601
68 St-Hunter College,07,2660.8,-0.4534100246507806,54.65899753492194
68 St-Hunter College,08,2386.6,-0.5097370583401808,49.02629416598192
68 St-Hunter College,09,3261.2,-0.33007395234182424,66.99260476581757
68 St-Hunter College,10,3908.4,-0.1971240755957272,80.28759244042728
68 St-Hunter College,11,3007.2,-0.3822514379622022,61.774856203779784
68 St-Hunter College,12,2051.6,-0.5785538208709943,42.14461791290057
