station_complex_grouped,year_month,avg_monthly_ridership,percentage_change_from_busiest_month,percentage_drop,negative_percentage_drop,resource_utilization
8 St-NYU,01,1397.0,-0.5878448148694497,58.78448148694497,-58.78448148694497,41.215518513055024
8 St-NYU,02,1557.25,-0.5405664552293848,54.05664552293848,-54.05664552293848,45.94335447706152
8 St-NYU,03,2605.75,-0.2312287948074937,23.12287948074937,-23.12287948074937,76.87712051925062
8 St-NYU,04,3389.5,0.0,0.0,-0.0,100.0
8 St-NYU,05,3049.0,-0.1004572945862221,10.04572945862221,-10.04572945862221,89.9542705413778
8 St-NYU,06,1704.25,-0.4971972267296061,49.71972267296061,-49.71972267296061,50.28027732703939
8 St-NYU,07,2285.0,-0.32585927127894965,32.58592712789496,-32.58592712789496,67.41407287210504
8 St-NYU,08,2730.2,-0.19451246496533414,19.451246496533415,-19.451246496533415,80.54875350346659
8 St-NYU,09,2088.0,-0.38397993804395925,38.397993804395924,-38.397993804395924,61.602006195604076
8 St-NYU,10,2440.2,-0.28007080690367314,28.007080690367314,-28.007080690367314,71.99291930963268
8 St-NYU,11,2061.4,-0.3918277032010621,39.18277032010621,-39.18277032010621,60.81722967989379
8 St-NYU,12,2799.0,-0.17421448591237643,17.421448591237642,-17.421448591237642,82.57855140876235
