Boro,Year,yearly_ridership_per_boro,prev_year_ridership,percent_change
B,2019,370545959,370231302.0,0.0
B,2020,153292739,370545959.0,-59.0
B,2021,183587543,153292739.0,20.0
B,2022,232489655,183587543.0,27.0
B,2023,260211533,232489655.0,12.0
Bx,2019,138381037,139238932.0,-1.0
Bx,2020,65662311,138381037.0,-53.0
Bx,2021,72920734,65662311.0,11.0
Bx,2022,81067948,72920734.0,11.0
Bx,2023,82306692,81067948.0,2.0
M,2019,952710327,936516980.0,2.0
M,2020,319882177,952710327.0,-66.0
M,2021,381549651,319882177.0,19.0
M,2022,546640695,381549651.0,43.0
M,2023,638450910,546640695.0,17.0
Q,2019,236149679,234085767.0,1.0
Q,2020,100703802,236149679.0,-56.99999999999999
Q,2021,121918793,100703802.0,21.0
Q,2022,153227167,121918793.0,26.0
Q,2023,171029023,153227167.0,12.0
