station,daily_avg,annual_avg
Times Sq-42 St ,145157.42,52982458.666666664
Grand Central-42 St ,78344.05,28595577.833333332
34 St-Herald Sq ,68956.38,25169079.833333332
14 St-Union Sq ,58832.76,21473957.0
Fulton St ,48798.96,17811621.5
34 St-Penn Station ,45505.71,16609585.0
34 St-Penn Station ,44539.06,16256758.333333334
59 St-Columbus Circle ,42274.4,15430154.666666666
Chambers St ,35304.94,12886304.166666666
74-Broadway ,35264.79,12871648.333333334
Flushing-Main St ,35214.07,12853135.333333334
Lexington Av-53 St ,32227.01,11762859.833333334
47-50 Sts-Rockefeller Center ,31506.64,11499925.333333334
Lexington Av ,31494.26,11495405.666666666
Canal St ,28419.28,10373038.166666666
14 St ,27955.65,10203812.333333334
14 St ,27045.19,9871494.5
86 St. ,26489.4,9668629.333333334
Atlantic Av-Barclays Ctr ,26350.61,9617974.333333334
West 4 St-Washington Sq ,25572.64,9334013.0
72 St ,23905.94,8725669.333333334
Broadway-Lafayette St ,22960.27,8380498.833333333
96 St ,21882.47,7987101.333333333
Jay St-MetroTech ,21481.29,7840670.0
57 St-7 Av ,20448.47,7463689.833333333
Jamaica Center-Parsons-Archer ,18584.01,6783162.166666667
Bedford Av ,18451.35,6734743.333333333
72 St ,18036.21,6583216.666666667
Court St ,17801.87,6497681.5
South Ferry ,17515.84,6393282.166666667
Delancey St ,17184.39,6272300.833333333
125 St ,16981.01,6198069.666666667
33 St ,16309.17,5952847.0
Brooklyn Bridge-City Hall ,15942.59,5819047.166666667
77 St ,15695.97,5729027.833333333
Junction Blvd ,15661.9,5716592.166666667
161 St-Yankee Stadium ,15655.72,5714336.166666667
125 St ,15482.09,5650962.0
23 St ,15312.46,5589048.166666667
86 St ,15196.67,5546785.833333333
Forest Hills-71 Av ,15163.13,5534540.666666667
Crown Heights-Utica Av ,15114.54,5516806.666666667
Grand St ,14858.33,5423290.166666667
Sutphin Blvd-Archer Av-JFK Airport ,14657.12,5349849.0
50 St ,14501.56,5293070.666666667
168 St ,14347.35,5236782.833333333
Kew Gardens-Union Turnpike ,14307.19,5222124.666666667
103 St-Corona Plaza ,14300.85,5219810.0
49 St ,14019.19,5117004.666666667
145 St ,13874.02,5064018.833333333
