station,daily_avg,annual_avg
"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)","145,157","52,982,459"
"Grand Central-42 St (S,4,5,6,7)","78,344","28,595,578"
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)","68,956","25,169,080"
"14 St-Union Sq (L,N,Q,R,W,4,5,6)","58,833","21,473,957"
"Fulton St (A,C,J,Z,2,3,4,5)","48,799","17,811,622"
"34 St-Penn Station (A,C,E)","45,506","16,609,585"
"34 St-Penn Station (1,2,3)","44,539","16,256,758"
"59 St-Columbus Circle (A,B,C,D,1)","42,274","15,430,155"
"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt (R,W)","35,305","12,886,304"
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","35,265","12,871,648"
