station,avg_weekday_ridership,avg_weekend_ridership,percent_change_compared_to_weekday
Mets-Willets Point (7),3550.5,8959.5,152.0
Aqueduct Racetrack (A),946.6666666666666,2092.8333333333335,121.0
"Prince St (R,W)",8480.166666666666,16691.833333333332,97.0
"Beach 90 St (A,S)",623.3333333333334,1181.0,89.0
"Beach 105 St (A,S)",174.66666666666666,320.5,83.0
"Bowery (J,Z)",2487.3333333333335,4476.0,80.0
Christopher St-Sheridan Sq (1),7001.5,12181.666666666666,74.0
Spring St (6),7563.0,12953.666666666666,71.0
Lorimer St (L)/Metropolitan Av (G),10120.333333333334,17285.666666666668,71.0
"Coney Island-Stillwell Av (D,F,N,Q)",9289.833333333334,15568.833333333334,68.0
